NO CLIENTE,NÚMERO DE PEDIDO,NOMBRE DEL CLIENTE,DESTINO,FECHA DE ENVÍO,PROMESA DE ENTREGA,FECHA DE ENTREGA REAL,FLETERA,NÚMERO DE GUÍA,COSTO DE LA GUÍA,CANTIDAD DE CAJAS,COMENTARIOS
C05558,232828,IBEROSTAR PUNTA MITA,"BAHIA DE BANDERAS, NAY",06/01/2026,08/01/2026,06/01/2026,TRES GUERRAS,GLZ02763067,533.11,1,Pedido entregado
C03030,232830,FIESTA INN AGUASCALIENTES PATIO  (FIAGP),"AGUASCALIENTES, AGS",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02762993,400,1,Pedido entregado
C06778,232831,FIESTA INN MERIDA FIMER2,"MERIDA, YUC",05/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02762965,445,1,Pedido entregado
C05498,232832,FIESTA AMERICANA EXPLOREAN KOHUNLICH (EXKO),"CHETUMAL, QR",05/01/2026,12/01/2026,,CASTORES,14270169635,360,1,Sin comentarios
C07427,232833,INSUMOS DEL NORTE,"CD JUAREZ, CHI",05/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02762954,445,1,Pedido entregado
C04404,232834,FIESTA AMERICANA MERIDA FAMD,"MERIDA, YUC",05/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02762948,445,1,Pedido entregado
C05494,232835,FIESTA INN INSURGENTES SUR (FITIN),"MEXICO, DF",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02763019,400,2,Pedido entregado
C06736,232836,FIESTA INN PLAZA CENTRAL  (FIPLC2),"CIUDAD DE MEXICO, CMX",05/01/2026,07/01/2026,,EXXPREZO,0-1750410,160,4,0
C05486,232837,FIESTA INN MEXICO CENTRO HISTORICO  (FICEN),"MEXICO, DF",05/01/2026,07/01/2026,,EXXPREZO,0-1750164,440,11,0
C06778,232838,FIESTA INN MERIDA FIMER2,"MERIDA, YUC",05/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02762942,445,4,Pedido entregado
C04479,232839,FIESTA INN CUERNAVACA (FICUE),"CUERNAVACA, MOR",05/01/2026,08/01/2026,06/01/2026,TRES GUERRAS,GLZ02762939,400.02,3,Pedido entregado
C05485,232840,FIESTA INN AEROPUERTO FIAPT,"MEXICO, DF",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02763023,400,2,Pedido entregado
C01553,232841,FIESTA INN PERINORTE (FIPER),"TULTITLAN, MEX",05/01/2026,07/01/2026,,EXXPREZO,0-1750169,40,1,0
C05936,232842,FIESTA INN PUERTO VALLARTA LA ISLA (FIPVT),"PUERTO VALLARTA, JAL",05/01/2026,07/01/2026,06/01/2026,TRES GUERRAS,GLZ02762935,400,4,Pedido entregado
C05498,232843,FIESTA AMERICANA EXPLOREAN KOHUNLICH (EXKO),"CHETUMAL, QR",06/01/2026,13/01/2026,,FLETES DE REGRESO,120147G,2900,18,Sin comentarios
C01555,232844,FIESTA INN TOLUCA TOLLOCAN (FITOL),"TOLUCA, MEX",08/01/2026,12/01/2026,09/01/2026,TRES GUERRAS,GLZ02767054,1088.71,3,Pedido entregado
C08358,232847,HILTON VALLARTA RIVIERA ALL INCLUSIVE (PVRPA),"PUERTO VALLARTA, JAL",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764791,3749.6,80,Pedido entregado
C03820,232848,HOTEL MINA REAL,"MATEHUALA, SLP",06/01/2026,09/01/2026,07/01/2026,TRES GUERRAS,GLZ02764933,300,5,Pedido entregado
C03977,232850,HOLIDAY INN EXPRESS CABO SAN LUCAS (SJDL),"CABO SAN LUCAS, BCS",06/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02764796,1037.61,9,Pedido entregado
C08479,232855,AVID TIJUANA OTAY(TIJAV),"TIJUANA, BC",06/01/2026,13/01/2026,10/01/2026,TRES GUERRAS,GLZ02764799,1068,12,Pedido entregado
C08350,232856,GARDEN INN PUEBLA (PBCGI),"SAN ANDRES, PUE",06/01/2026,08/01/2026,08/01/2026,EXXPREZO,0-1750885,480,12,Pedido entregado
C07188,232857,CITY EXPRESS LEON (CELEO),"LEON, GTO",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764806,400,1,Pedido entregado
C01474,232858,COURTYARD MEXICO CITY REVOLUCION,"CDMX, CMX",06/01/2026,08/01/2026,,EXXPREZO,0-1750888,840,21,Desembarcada
C09095,232859,CASA HAUS HOTEL,"PUEBLA, PUE",06/01/2026,08/01/2026,,EXXPREZO,0-1750893,80,2,Desembarcada
C06215,232860,HOTEL VICTORIA INN,"CD. VICTORIA TAMAULIPAS, TAM",06/01/2026,09/01/2026,08/01/2026,CASTORES,14270169735,1250,15,Pedido entregado
C07962,232861,COMFORT INN DELICIAS (143196),"DELICIAS, CHI",06/01/2026,09/01/2026,08/01/2026,TRES GUERRAS,GLZ02764808,445,18,Pedido entregado
C07226,232862,CITY JUNIOR TUXTLA GUTIERREZ POLIFORUM (CJTGZ),"TUXTLA GUTIERREZ, CHS",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764813,890,10,03 TRANSITO ENTRE SUCURSALES
C07739,232863,HOTEL RIAZOR,"CIUDAD DE MEXICO, CMX",06/01/2026,08/01/2026,,EXXPREZO,0-1750894,1120,28,Desembarcada
C09341,232864,FIESTA AMERICANA HACIENDA IXTAPAN DE LA SAL (FAHI),"IXTAPAN DE LA SAL, MEX",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764779,240,4,05 RECIBIDO EN BODEGA DE REPARTO
C09341,232865,FIESTA AMERICANA HACIENDA IXTAPAN DE LA SAL (FAHI),"IXTAPAN DE LA SAL, MEX",06/01/2026,09/01/2026,,TRES GUERRAS,GLZ02764779,60,1,05 RECIBIDO EN BODEGA DE REPARTO
C07229,232866,CITY EXPRESS QUERETARO JURICA (CEQRJ),"QUERETARO, QUE",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764770,60,1,Pedido entregado
C07229,232867,CITY EXPRESS QUERETARO JURICA (CEQRJ),"QUERETARO, QUE",06/01/2026,08/01/2026,07/01/2026,TRES GUERRAS,GLZ02764770,1240,21,Pedido entregado
C08936,232868,CITY EXPRESS BY MARRIOTT TULA (CETUL),"ATITALAQUIA, HID",06/01/2026,09/01/2026,07/01/2026,TRES GUERRAS,GLZ02764824,60,1,Pedido entregado
C08936,232869,CITY EXPRESS BY MARRIOTT TULA (CETUL),"ATITALAQUIA, HID",06/01/2026,09/01/2026,07/01/2026,TRES GUERRAS,GLZ02764824,720,11,Pedido entregado
